recordId,studentId,bookTitle,borrowDate,returnDate,status
1,101,Data Structures,2024-01-02,2024-01-09,returned
2,102,Machine Learning Basics,2024-01-03,2024-01-11,returned
3,103,Operating Systems,2024-01-05,,overdue
4,101,Computer Networks,2024-01-07,2024-01-13,returned
5,104,DBMS Made Easy,2024-01-07,2024-01-17,returned
6,105,Artificial Intelligence,2024-01-10,,overdue
7,102,Java Programming,2024-01-12,2024-01-19,returned
8,101,Deep Learning,2024-01-12,2024-01-20,returned
9,106,Python Crash Course,2024-01-12,,borrowed
10,103,Quantum Computing,2024-01-14,2024-01-20,returned
11,107,Git & GitHub Guide,2024-01-15,2024-01-22,returned
12,108,Compiler Design,2024-01-15,,borrowed
13,109,Object Oriented Design,2024-01-16,2024-01-23,returned
14,110,Theory of Computation,2024-01-20,,overdue
15,105,AI for Beginners,2024-01-20,2024-01-27,returned
16,104,Parallel Computing,2024-01-21,2024-01-30,returned
17,102,Blockchain Essentials,2024-01-22,2024-01-27,returned
18,103,Microprocessors,2024-01-24,,borrowed
19,108,Data Warehousing,2024-01-24,,borrowed
20,109,Cloud Computing,2024-01-25,2024-02-01,returned
21,110,Cybersecurity Fundamentals,2024-01-25,,overdue
22,111,Discrete Math,2024-01-26,2024-02-02,returned
23,101,Neural Networks,2024-01-28,,borrowed
24,102,Software Engineering,2024-01-29,,borrowed
25,104,C++ Programming,2024-01-29,2024-02-05,returned
26,106,Full Stack Web Dev,2024-02-01,,overdue
27,108,Big Data Analytics,2024-02-01,,borrowed
28,110,Operating System Design,2024-02-03,,borrowed
29,103,Embedded Systems,2024-02-03,,borrowed
30,112,Programming in Rust,2024-02-04,,borrowed
